"Frequency","Prob.","C","D","E","F"
9192631769.6,0.156,54.465,64.521,0.148,0.194
9192631769.799999,0.168,51.738,62.162,0.172,0.208
9192631770,0.165,53.129,63.623,0.159,0.198
9192631770.200001,0.169,52.523,63.206,0.163,0.203
9192631770.4,0.151,56.576,66.631,0.147,0.179
9192631770.6,0.14,53.55,62.283,0.132,0.179
9192631770.799999,0.115,55.904,63.175,0.104,0.153
9192631771,0.116,54.821,62.008,0.115,0.159
9192631771.200001,0.089,57.328,62.914,0.076,0.13
9192631771.4,0.09,57.852,63.58,0.074,0.14
9192631771.6,0.08500000000000001,58.035,63.418,0.078,0.132
9192631771.799999,0.103,56.582,63.055,0.096,0.146
9192631772,0.108,57.051,63.931,0.098,0.145
9192631772.200001,0.137,55.911,64.756,0.124,0.179
9192631772.4,0.149,56.037,65.819,0.144,0.193
9192631772.6,0.169,54.216,65.26600000000001,0.166,0.213
9192631772.799999,0.173,52.724,63.771,0.171,0.212
9192631773,0.168,52.475,63.066,0.163,0.214
9192631773.200001,0.153,54.156,63.951,0.147,0.192
9192631773.4,0.143,57.677,67.288,0.138,0.172
9192631773.6,0.127,58.823,67.378,0.126,0.162
9192631773.799999,0.106,58.937,65.925,0.095,0.146
9192631774,0.099,57.756,64.121,0.08599999999999999,0.138
9192631774.200001,0.08599999999999999,61.069,66.84399999999999,0.08,0.125
9192631774.4,0.095,58.732,64.91200000000001,0.08599999999999999,0.14
9192631774.6,0.1,58.073,64.49299999999999,0.092,0.139
9192631774.799999,0.11,58.332,65.551,0.1,0.152
