Detuning_Normalizado,P2_Curva_A,P2_Curva_B
2.204724409448840516e-01,1.050000829980582695e-01,1.089339021782994993e-01
2.834645669291353531e-01,2.451084065175244183e-03,5.072097647915176609e-04
3.464566929133866546e-01,1.172928339823356425e-01,1.300048181396808444e-01
4.094488188976379561e-01,3.936972969240076781e-01,4.354005426138952140e-01
4.724409448818914781e-01,6.996341792404263682e-01,7.708280479199530744e-01
5.354330708661427796e-01,8.901792970945564543e-01,9.763149979226903863e-01
5.984251968503940811e-01,8.764042461919424598e-01,9.541124234641378266e-01
6.614173228346453826e-01,6.669436403554395154e-01,7.151626058951091602e-01
7.244094488188966841e-01,3.627336597218789871e-01,3.736090330353706856e-01
7.874015748031525375e-01,1.080042745194464276e-01,9.212563954543331879e-02
8.503937007874037279e-01,2.143681083559551698e-02,4.302888691249387963e-03
9.133858267716550294e-01,1.405041771944222362e-01,1.511706915413132402e-01
9.763779527559063309e-01,4.052043723252000684e-01,4.620388787230491623e-01
1.039370078740157632e+00,6.881963600272363868e-01,7.885739507020378403e-01
1.102362204724409045e+00,8.561550744214539987e-01,9.756278720904950630e-01
1.165354330708664676e+00,8.326424080417067497e-01,9.349308440092974903e-01
1.228346456692916089e+00,6.327183873811838000e-01,6.866024494406406387e-01
1.291338582677167279e+00,3.536067086355947353e-01,3.489669455750852856e-01
1.354330708661418692e+00,1.269314272040182046e-01,8.186222514009615370e-02
1.417322834645669882e+00,5.608133517688808356e-02,1.067964358960776794e-02
1.480314960629921295e+00,1.686362158676460166e-01,1.672981598211143450e-01
